Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2019/01/01,91
2019/01/02,20
2019/01/03,19
2019/01/04,54
2019/01/05,67
2019/01/06,68
2019/01/07,92
2019/01/08,108
2019/01/09,29
2019/01/10,20
2019/01/11,38
2019/01/12,61
2019/01/13,73
2019/01/14,17
2019/01/15,33
2019/01/16,66
2019/01/17,42
2019/01/18,40
2019/01/19,15
2019/01/20,47
2019/01/21,74
2019/01/22,77
2019/01/23,49
2019/01/24,62
2019/01/25,59
2019/01/26,77
2019/01/27,66
2019/01/28,46
2019/01/29,51
2019/01/30,25
2019/01/31,43
2019/02/01,28
2019/02/02,31
2019/02/03,29
2019/02/04,30
2019/02/05,49
2019/02/06,65
2019/02/07,79
2019/02/08,99
2019/02/09,72
2019/02/10,66
2019/02/11,21
2019/02/12,20
2019/02/13,31
2019/02/14,62
2019/02/15,82
2019/02/16,90
2019/02/17,90
2019/02/18,48
2019/02/19,27
2019/02/20,66
2019/02/21,84
2019/02/22,79
2019/02/23,49
2019/02/24,31
2019/02/25,68
2019/02/26,72
2019/02/27,69
2019/02/28,54
2019/03/01,54
2019/03/02,60
2019/03/03,38
2019/03/04,40
2019/03/05,29
2019/03/06,48
2019/03/07,42
2019/03/08,32
2019/03/09,23
2019/03/10,20
2019/03/11,21
2019/03/12,13
2019/03/13,22
2019/03/14,23
2019/03/15,18
2019/03/16,20
2019/03/17,32
2019/03/18,7
2019/03/19,14
2019/03/20,26
2019/03/21,33
2019/03/22,52
2019/03/23,54
2019/03/24,45
2019/03/25,26
2019/03/26,16
2019/03/27,23
2019/03/28,27
2019/03/29,30
2019/03/30,45
2019/03/31,44
2019/04/01,52
2019/04/02,44
2019/04/03,25
2019/04/04,12
2019/04/05,12
2019/04/06,21
2019/04/07,19
2019/04/08,14
2019/04/09,14
2019/04/10,20
2019/04/11,15
2019/04/12,14
2019/04/13,21
2019/04/14,7
2019/04/15,14
2019/04/16,25
2019/04/17,33
2019/04/18,29
2019/04/19,-999
2019/04/20,23
2019/04/21,18
2019/04/22,-999
2019/04/23,11
2019/04/24,17
2019/04/25,-999
2019/04/26,-999
2019/04/27,-999
2019/04/28,-999
2019/04/29,-999
2019/04/30,-999
2019/05/01,15
2019/05/02,17
2019/05/03,13
2019/05/04,10
2019/05/05,4
2019/05/06,8
2019/05/07,14
2019/05/08,21
2019/05/09,11
2019/05/10,-999
2019/05/11,17
2019/05/12,6
2019/05/13,10
2019/05/14,16
2019/05/15,13
2019/05/16,17
2019/05/17,17
2019/05/18,10
2019/05/19,9
2019/05/20,12
2019/05/21,11
2019/05/22,15
2019/05/23,17
2019/05/24,17
2019/05/25,18
2019/05/26,10
2019/05/27,13
2019/05/28,11
2019/05/29,7
2019/05/30,9
2019/05/31,13
2019/06/01,19
2019/06/02,16
2019/06/03,19
2019/06/04,21
2019/06/05,18
2019/06/06,23
2019/06/07,-999
2019/06/08,-999
2019/06/09,31
2019/06/10,40
2019/06/11,43
2019/06/12,28
2019/06/13,15
2019/06/14,28
2019/06/15,34
2019/06/16,15
2019/06/17,25
2019/06/18,26
2019/06/19,26
2019/06/20,21
2019/06/21,23
2019/06/22,14
2019/06/23,15
2019/06/24,24
2019/06/25,28
2019/06/26,38
2019/06/27,42
2019/06/28,44
2019/06/29,25
2019/06/30,27
2019/07/01,30
2019/07/02,16
2019/07/03,21
2019/07/04,17
2019/07/05,24
2019/07/06,21
2019/07/07,25
2019/07/08,20
2019/07/09,18
2019/07/10,17
2019/07/11,20
2019/07/12,21
2019/07/13,18
2019/07/14,11
2019/07/15,8
2019/07/16,14
2019/07/17,15
2019/07/18,19
2019/07/19,24
2019/07/20,24
2019/07/21,19
2019/07/22,27
2019/07/23,33
2019/07/24,33
2019/07/25,33
2019/07/26,27
2019/07/27,18
2019/07/28,12
2019/07/29,13
2019/07/30,16
2019/07/31,18
2019/08/01,22
2019/08/02,15
2019/08/03,14
2019/08/04,16
2019/08/05,17
2019/08/06,19
2019/08/07,12
2019/08/08,18
2019/08/09,24
2019/08/10,23
2019/08/11,20
2019/08/12,20
2019/08/13,10
2019/08/14,10
2019/08/15,10
2019/08/16,12
2019/08/17,15
2019/08/18,18
2019/08/19,15
2019/08/20,18
2019/08/21,18
2019/08/22,13
2019/08/23,18
2019/08/24,20
2019/08/25,19
2019/08/26,20
2019/08/27,27
2019/08/28,14
2019/08/29,17
2019/08/30,23
2019/08/31,19
2019/09/01,23
2019/09/02,13
2019/09/03,13
2019/09/04,19
2019/09/05,22
2019/09/06,9
2019/09/07,12
2019/09/08,6
2019/09/09,10
2019/09/10,17
2019/09/11,19
2019/09/12,28
2019/09/13,30
2019/09/14,35
2019/09/15,31
2019/09/16,35
2019/09/17,26
2019/09/18,25
2019/09/19,16
2019/09/20,20
2019/09/21,22
2019/09/22,26
2019/09/23,30
2019/09/24,36
2019/09/25,30
2019/09/26,-999
2019/09/27,-999
2019/09/28,-999
2019/09/29,-999
2019/09/30,20
2019/10/01,29
2019/10/02,15
2019/10/03,13
2019/10/04,25
2019/10/05,35
2019/10/06,36
2019/10/07,11
2019/10/08,26
2019/10/09,30
2019/10/10,28
2019/10/11,37
2019/10/12,52
2019/10/13,54
2019/10/14,52
2019/10/15,39
2019/10/16,14
2019/10/17,22
2019/10/18,15
2019/10/19,21
2019/10/20,7
2019/10/21,13
2019/10/22,26
2019/10/23,-999
2019/10/24,32
2019/10/25,25
2019/10/26,31
2019/10/27,33
2019/10/28,48
2019/10/29,45
2019/10/30,29
2019/10/31,-999
2019/11/01,-999
2019/11/02,-999
2019/11/03,-999
2019/11/04,-999
2019/11/05,-999
2019/11/06,18
2019/11/07,22
2019/11/08,9
2019/11/09,21
2019/11/10,32
2019/11/11,20
2019/11/12,16
2019/11/13,26
2019/11/14,-999
2019/11/15,24
2019/11/16,25
2019/11/17,-999
2019/11/18,29
2019/11/19,14
2019/11/20,20
2019/11/21,30
2019/11/22,32
2019/11/23,8
2019/11/24,12
2019/11/25,18
2019/11/26,34
2019/11/27,25
2019/11/28,29
2019/11/29,42
2019/11/30,30
2019/12/01,30
2019/12/02,18
2019/12/03,19
2019/12/04,24
2019/12/05,53
2019/12/06,66
2019/12/07,54
2019/12/08,64
2019/12/09,71
2019/12/10,26
2019/12/11,34
2019/12/12,26
2019/12/13,23
2019/12/14,33
2019/12/15,33
2019/12/16,36
2019/12/17,43
2019/12/18,44
2019/12/19,32
2019/12/20,23
2019/12/21,16
2019/12/22,11
2019/12/23,11
2019/12/24,20
2019/12/25,21
2019/12/26,34
2019/12/27,52
2019/12/28,60
2019/12/29,59
2019/12/30,51
2019/12/31,61
2018/01/01,34
2018/01/02,28
2018/01/03,32
2018/01/04,31
2018/01/05,56
2018/01/06,46
2018/01/07,47
2018/01/08,29
2018/01/09,24
2018/01/10,28
2018/01/11,47
2018/01/12,45
2018/01/13,53
2018/01/14,51
2018/01/15,58
2018/01/16,53
2018/01/17,-999
2018/01/18,34
2018/01/19,49
2018/01/20,59
2018/01/21,13
2018/01/22,38
2018/01/23,67
2018/01/24,62
2018/01/25,71
2018/01/26,82
2018/01/27,43
2018/01/28,44
2018/01/29,52
2018/01/30,32
2018/01/31,52
2018/02/01,31
2018/02/02,24
2018/02/03,21
2018/02/04,25
2018/02/05,21
2018/02/06,23
2018/02/07,23
2018/02/08,38
2018/02/09,28
2018/02/10,34
2018/02/11,49
2018/02/12,41
2018/02/13,20
2018/02/14,35
2018/02/15,46
2018/02/16,78
2018/02/17,84
2018/02/18,45
2018/02/19,22
2018/02/20,46
2018/02/21,42
2018/02/22,30
2018/02/23,21
2018/02/24,32
2018/02/25,20
2018/02/26,21
2018/02/27,26
2018/02/28,43
2018/03/01,55
2018/03/02,57
2018/03/03,43
2018/03/04,35
2018/03/05,55
2018/03/06,49
2018/03/07,40
2018/03/08,36
2018/03/09,31
2018/03/10,14
2018/03/11,19
2018/03/12,21
2018/03/13,37
2018/03/14,25
2018/03/15,25
2018/03/16,17
2018/03/17,15
2018/03/18,7
2018/03/19,8
2018/03/20,21
2018/03/21,25
2018/03/22,30
2018/03/23,42
2018/03/24,32
2018/03/25,25
2018/03/26,51
2018/03/27,45
2018/03/28,42
2018/03/29,54
2018/03/30,32
2018/03/31,15
2018/04/01,7
2018/04/02,14
2018/04/03,20
2018/04/04,20
2018/04/05,27
2018/04/06,38
2018/04/07,41
2018/04/08,29
2018/04/09,17
2018/04/10,16
2018/04/11,14
2018/04/12,13
2018/04/13,14
2018/04/14,22
2018/04/15,25
2018/04/16,30
2018/04/17,49
2018/04/18,45
2018/04/19,39
2018/04/20,-999
2018/04/21,41
2018/04/22,31
2018/04/23,31
2018/04/24,34
2018/04/25,33
2018/04/26,31
2018/04/27,31
2018/04/28,36
2018/04/29,28
2018/04/30,15
2018/05/01,11
2018/05/02,10
2018/05/03,24
2018/05/04,25
2018/05/05,26
2018/05/06,28
2018/05/07,20
2018/05/08,23
2018/05/09,13
2018/05/10,18
2018/05/11,23
2018/05/12,17
2018/05/13,14
2018/05/14,-999
2018/05/15,-999
2018/05/16,-999
2018/05/17,-999
2018/05/18,17
2018/05/19,15
2018/05/20,11
2018/05/21,14
2018/05/22,22
2018/05/23,15
2018/05/24,21
2018/05/25,24
2018/05/26,32
2018/05/27,26
2018/05/28,15
2018/05/29,16
2018/05/30,36
2018/05/31,26
2018/06/01,20
2018/06/02,19
2018/06/03,17
2018/06/04,23
2018/06/05,19
2018/06/06,16
2018/06/07,-999
2018/06/08,-999
2018/06/09,-999
2018/06/10,-999
2018/06/11,-999
2018/06/12,-999
2018/06/13,16
2018/06/14,13
2018/06/15,30
2018/06/16,21
2018/06/17,19
2018/06/18,17
2018/06/19,23
2018/06/20,25
2018/06/21,27
2018/06/22,21
2018/06/23,-999
2018/06/24,-999
2018/06/25,-999
2018/06/26,17
2018/06/27,26
2018/06/28,16
2018/06/29,20
2018/06/30,22
2018/07/01,23
2018/07/02,23
2018/07/03,25
2018/07/04,14
2018/07/05,13
2018/07/06,16
2018/07/07,16
2018/07/08,15
2018/07/09,19
2018/07/10,21
2018/07/11,15
2018/07/12,20
2018/07/13,23
2018/07/14,24
2018/07/15,19
2018/07/16,16
2018/07/17,18
2018/07/18,21
2018/07/19,21
2018/07/20,22
2018/07/21,7
2018/07/22,11
2018/07/23,13
2018/07/24,17
2018/07/25,20
2018/07/26,26
2018/07/27,15
2018/07/28,18
2018/07/29,16
2018/07/30,22
2018/07/31,24
2018/08/01,25
2018/08/02,22
2018/08/03,22
2018/08/04,18
2018/08/05,17
2018/08/06,18
2018/08/07,16
2018/08/08,21
2018/08/09,19
2018/08/10,-999
2018/08/11,17
2018/08/12,17
2018/08/13,14
2018/08/14,15
2018/08/15,9
2018/08/16,13
2018/08/17,15
2018/08/18,17
2018/08/19,18
2018/08/20,20
2018/08/21,23
2018/08/22,24
2018/08/23,26
2018/08/24,17
2018/08/25,11
2018/08/26,9
2018/08/27,9
2018/08/28,21
2018/08/29,21
2018/08/30,27
2018/08/31,13
2018/09/01,9
2018/09/02,9
2018/09/03,13
2018/09/04,18
2018/09/05,21
2018/09/06,26
2018/09/07,18
2018/09/08,21
2018/09/09,23
2018/09/10,32
2018/09/11,37
2018/09/12,35
2018/09/13,35
2018/09/14,24
2018/09/15,35
2018/09/16,32
2018/09/17,28
2018/09/18,39
2018/09/19,42
2018/09/20,45
2018/09/21,45
2018/09/22,28
2018/09/23,25
2018/09/24,26
2018/09/25,19
2018/09/26,23
2018/09/27,48
2018/09/28,52
2018/09/29,37
2018/09/30,22
2018/10/01,18
2018/10/02,18
2018/10/03,36
2018/10/04,51
2018/10/05,37
2018/10/06,39
2018/10/07,33
2018/10/08,38
2018/10/09,54
2018/10/10,57
2018/10/11,42
2018/10/12,32
2018/10/13,52
2018/10/14,51
2018/10/15,52
2018/10/16,53
2018/10/17,63
2018/10/18,57
2018/10/19,56
2018/10/20,64
2018/10/21,60
2018/10/22,26
2018/10/23,37
2018/10/24,24
2018/10/25,65
2018/10/26,31
2018/10/27,-999
2018/10/28,12
2018/10/29,10
2018/10/30,-999
2018/10/31,15
2018/11/01,18
2018/11/02,30
2018/11/03,16
2018/11/04,23
2018/11/05,16
2018/11/06,16
2018/11/07,20
2018/11/08,18
2018/11/09,25
2018/11/10,33
2018/11/11,28
2018/11/12,25
2018/11/13,30
2018/11/14,44
2018/11/15,54
2018/11/16,29
2018/11/17,23
2018/11/18,19
2018/11/19,31
2018/11/20,22
2018/11/21,-999
2018/11/22,39
2018/11/23,39
2018/11/24,12
2018/11/25,24
2018/11/26,26
2018/11/27,40
2018/11/28,41
2018/11/29,39
2018/11/30,52
2018/12/01,71
2018/12/02,63
2018/12/03,75
2018/12/04,66
2018/12/05,65
2018/12/06,58
2018/12/07,73
2018/12/08,21
2018/12/09,26
2018/12/10,10
2018/12/11,23
2018/12/12,38
2018/12/13,30
2018/12/14,40
2018/12/15,61
2018/12/16,71
2018/12/17,68
2018/12/18,82
2018/12/19,59
2018/12/20,29
2018/12/21,38
2018/12/22,38
2018/12/23,35
2018/12/24,32
2018/12/25,35
2018/12/26,42
2018/12/27,58
2018/12/28,77
2018/12/29,81
2018/12/30,52
2018/12/31,52
2017/01/01,152
2017/01/02,80
2017/01/03,77
2017/01/04,57
2017/01/05,21
2017/01/06,28
2017/01/07,52
2017/01/08,43
2017/01/09,83
2017/01/10,69
2017/01/11,49
2017/01/12,61
2017/01/13,36
2017/01/14,16
2017/01/15,-999
2017/01/16,-999
2017/01/17,49
2017/01/18,86
2017/01/19,65
2017/01/20,82
2017/01/21,108
2017/01/22,76
2017/01/23,79
2017/01/24,-999
2017/01/25,67
2017/01/26,74
2017/01/27,86
2017/01/28,103
2017/01/29,136
2017/01/30,169
2017/01/31,161
2017/02/01,148
2017/02/02,135
2017/02/03,44
2017/02/04,36
2017/02/05,46
2017/02/06,-999
2017/02/07,52
2017/02/08,-999
2017/02/09,43
2017/02/10,37
2017/02/11,64
2017/02/12,55
2017/02/13,55
2017/02/14,47
2017/02/15,65
2017/02/16,72
2017/02/17,59
2017/02/18,98
2017/02/19,86
2017/02/20,92
2017/02/21,65
2017/02/22,95
2017/02/23,79
2017/02/24,97
2017/02/25,37
2017/02/26,51
2017/02/27,53
2017/02/28,54
2017/03/01,31
2017/03/02,49
2017/03/03,-999
2017/03/04,36
2017/03/05,19
2017/03/06,36
2017/03/07,21
2017/03/08,32
2017/03/09,52
2017/03/10,40
2017/03/11,27
2017/03/12,29
2017/03/13,36
2017/03/14,-999
2017/03/15,86
2017/03/16,123
2017/03/17,117
2017/03/18,47
2017/03/19,47
2017/03/20,-999
2017/03/21,-999
2017/03/22,-999
2017/03/23,-999
2017/03/24,-999
2017/03/25,-999
2017/03/26,-999
2017/03/27,-999
2017/03/28,34
2017/03/29,34
2017/03/30,58
2017/03/31,58
2017/04/01,36
2017/04/02,-999
2017/04/03,41
2017/04/04,37
2017/04/05,19
2017/04/06,31
2017/04/07,42
2017/04/08,47
2017/04/09,49
2017/04/10,40
2017/04/11,39
2017/04/12,37
2017/04/13,32
2017/04/14,32
2017/04/15,30
2017/04/16,20
2017/04/17,18
2017/04/18,25
2017/04/19,14
2017/04/20,16
2017/04/21,27
2017/04/22,29
2017/04/23,21
2017/04/24,29
2017/04/25,34
2017/04/26,18
2017/04/27,18
2017/04/28,4
2017/04/29,16
2017/04/30,18
2017/05/01,21
2017/05/02,12
2017/05/03,11
2017/05/04,20
2017/05/05,19
2017/05/06,22
2017/05/07,19
2017/05/08,15
2017/05/09,11
2017/05/10,18
2017/05/11,25
2017/05/12,18
2017/05/13,13
2017/05/14,17
2017/05/15,16
2017/05/16,19
2017/05/17,24
2017/05/18,25
2017/05/19,19
2017/05/20,11
2017/05/21,12
2017/05/22,17
2017/05/23,20
2017/05/24,23
2017/05/25,24
2017/05/26,18
2017/05/27,22
2017/05/28,22
2017/05/29,25
2017/05/30,25
2017/05/31,21
2017/06/01,22
2017/06/02,15
2017/06/03,22
2017/06/04,15
2017/06/05,21
2017/06/06,14
2017/06/07,13
2017/06/08,19
2017/06/09,-999
2017/06/10,-999
2017/06/11,-999
2017/06/12,-999
2017/06/13,26
2017/06/14,29
2017/06/15,24
2017/06/16,21
2017/06/17,22
2017/06/18,15
2017/06/19,19
2017/06/20,24
2017/06/21,20
2017/06/22,27
2017/06/23,24
2017/06/24,24
2017/06/25,14
2017/06/26,15
2017/06/27,20
2017/06/28,26
2017/06/29,-999
2017/06/30,11
2017/07/01,14
2017/07/02,10
2017/07/03,12
2017/07/04,16
2017/07/05,22
2017/07/06,20
2017/07/07,20
2017/07/08,26
2017/07/09,20
2017/07/10,21
2017/07/11,15
2017/07/12,20
2017/07/13,24
2017/07/14,12
2017/07/15,16
2017/07/16,9
2017/07/17,14
2017/07/18,19
2017/07/19,24
2017/07/20,20
2017/07/21,23
2017/07/22,16
2017/07/23,19
2017/07/24,15
2017/07/25,14
2017/07/26,12
2017/07/27,-999
2017/07/28,25
2017/07/29,23
2017/07/30,11
2017/07/31,-999
2017/08/01,-999
2017/08/02,17
2017/08/03,34
2017/08/04,35
2017/08/05,38
2017/08/06,22
2017/08/07,10
2017/08/08,17
2017/08/09,19
2017/08/10,19
2017/08/11,9
2017/08/12,6
2017/08/13,10
2017/08/14,11
2017/08/15,14
2017/08/16,18
2017/08/17,19
2017/08/18,21
2017/08/19,16
2017/08/20,10
2017/08/21,13
2017/08/22,17
2017/08/23,23
2017/08/24,24
2017/08/25,25
2017/08/26,31
2017/08/27,27
2017/08/28,32
2017/08/29,24
2017/08/30,30
2017/08/31,25
2017/09/01,17
2017/09/02,7
2017/09/03,10
2017/09/04,14
2017/09/05,22
2017/09/06,27
2017/09/07,22
2017/09/08,15
2017/09/09,-999
2017/09/10,-999
2017/09/11,-999
2017/09/12,15
2017/09/13,19
2017/09/14,22
2017/09/15,20
2017/09/16,8
2017/09/17,-999
2017/09/18,13
2017/09/19,19
2017/09/20,-999
2017/09/21,17
2017/09/22,21
2017/09/23,21
2017/09/24,17
2017/09/25,18
2017/09/26,28
2017/09/27,39
2017/09/28,50
2017/09/29,47
2017/09/30,37
2017/10/01,30
2017/10/02,48
2017/10/03,63
2017/10/04,81
2017/10/05,-999
2017/10/06,-999
2017/10/07,22
2017/10/08,23
2017/10/09,39
2017/10/10,56
2017/10/11,62
2017/10/12,75
2017/10/13,73
2017/10/14,83
2017/10/15,83
2017/10/16,79
2017/10/17,97
2017/10/18,107
2017/10/19,95
2017/10/20,93
2017/10/21,102
2017/10/22,72
2017/10/23,12
2017/10/24,48
2017/10/25,57
2017/10/26,80
2017/10/27,68
2017/10/28,82
2017/10/29,48
2017/10/30,57
2017/10/31,34
2017/11/01,48
2017/11/02,82
2017/11/03,85
2017/11/04,89
2017/11/05,-999
2017/11/06,9
2017/11/07,29
2017/11/08,-999
2017/11/09,-999
2017/11/10,-999
2017/11/11,41
2017/11/12,42
2017/11/13,15
2017/11/14,27
2017/11/15,41
2017/11/16,50
2017/11/17,79
2017/11/18,71
2017/11/19,55
2017/11/20,68
2017/11/21,58
